chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16485360	16485361	chr2L	16424660	16424661	77.9000015258789
chr2L	16484503	16484504	chr2L	16424660	16424661	78.9000015258789
chr2L	16485361	16485362	chr2L	16424660	16424661	77.9000015258789
chr2L	16484465	16484466	chr2L	16424660	16424661	79.0999984741211
chr2L	16483716	16483717	chr2L	16424661	16424662	79.5
chr2L	16483015	16483016	chr2L	16425017	16425018	78.9000015258789
chr2L	16483015	16483016	chr2L	16424661	16424662	80.6999969482422
chr2L	16483715	16483716	chr2L	16424660	16424661	79.5
chr2L	16483716	16483717	chr2L	16424660	16424661	79.6999969482422
chr2L	16484109	16484110	chr2L	16425017	16425018	79.9000015258789
chr2L	16484109	16484110	chr2L	16422441	16422442	81.3000030517578
chr2L	16483014	16483015	chr2L	16422531	16422532	82.3000030517578
chr2L	16483015	16483016	chr2L	16422530	16422531	82.3000030517578
chr2L	16484123	16484124	chr2L	16422441	16422442	81.5
chr2L	16483015	16483016	chr2L	16422441	16422442	82.3000030517578
chr2L	16483716	16483717	chr2L	16422192	16422193	82.0999984741211
chr2L	16483715	16483716	chr2L	16422191	16422192	82.0999984741211
chr2L	16483716	16483717	chr2L	16422191	16422192	82.0999984741211
chr2L	16483015	16483016	chr2L	16422191	16422192	82.5
chr2L	16483715	16483716	chr2L	16422442	16422443	81.5
chr2L	16483015	16483016	chr2L	16422192	16422193	82.5
chr2L	16483014	16483015	chr2L	16422191	16422192	82.5
chr2L	16484503	16484504	chr2L	16422441	16422442	81.5
chr2L	16486243	16486244	chr2L	16422191	16422192	80.9000015258789
chr2L	16486242	16486243	chr2L	16422191	16422192	80.6999969482422
chr2L	16485361	16485362	chr2L	16422531	16422532	82.0999984741211
chr2L	16485360	16485361	chr2L	16422531	16422532	82.0999984741211
chr2L	16486243	16486244	chr2L	16422530	16422531	81.9000015258789
chr2L	16486242	16486243	chr2L	16422441	16422442	82.5
chr2L	16485360	16485361	chr2L	16422192	16422193	81.9000015258789
chr2L	16486242	16486243	chr2L	16422192	16422193	80.6999969482422
chr2L	16484465	16484466	chr2L	16422191	16422192	82.9000015258789
chr2L	16486243	16486244	chr2L	16422441	16422442	82.3000030517578
chr2L	16485361	16485362	chr2L	16422191	16422192	81.9000015258789
chr2L	16485360	16485361	chr2L	16422441	16422442	82.0999984741211
chr2L	16485360	16485361	chr2L	16421077	16421078	81.0999984741211
chr2L	16485361	16485362	chr2L	16421077	16421078	81.0999984741211
chr2L	16485360	16485361	chr2L	16420979	16420980	81.0999984741211
chr2L	16484503	16484504	chr2L	16420979	16420980	81.5
chr2L	16486242	16486243	chr2L	16421076	16421077	79.6999969482422
chr2L	16486243	16486244	chr2L	16420979	16420980	79.5
chr2L	16486243	16486244	chr2L	16421077	16421078	79.6999969482422
chr2L	16483716	16483717	chr2L	16420979	16420980	82.9000015258789
chr2L	16483715	16483716	chr2L	16421077	16421078	82.9000015258789
chr2L	16484109	16484110	chr2L	16421077	16421078	81.5
chr2L	16483715	16483716	chr2L	16421076	16421077	82.9000015258789
chr2L	16483715	16483716	chr2L	16420979	16420980	82.9000015258789
chr2L	16483015	16483016	chr2L	16420979	16420980	85.3000030517578
chr2L	16483014	16483015	chr2L	16420979	16420980	85.3000030517578
chr2L	16483015	16483016	chr2L	16421077	16421078	85.0999984741211
chr2L	16483716	16483717	chr2L	16421077	16421078	82.9000015258789
chr2L	16484123	16484124	chr2L	16421077	16421078	81.5
chr2L	16488886	16488887	chr2L	16424661	16424662	72.3000030517578
chr2L	16488896	16488897	chr2L	16424660	16424661	72.3000030517578
chr2L	16488389	16488390	chr2L	16424661	16424662	74.0999984741211
chr2L	16487898	16487899	chr2L	16424661	16424662	74.9000015258789
chr2L	16487897	16487898	chr2L	16424661	16424662	74.9000015258789
chr2L	16487898	16487899	chr2L	16424660	16424661	74.9000015258789
chr2L	16488390	16488391	chr2L	16424660	16424661	74.0999984741211
chr2L	16488886	16488887	chr2L	16422192	16422193	73.3000030517578
chr2L	16488389	16488390	chr2L	16422441	16422442	74.9000015258789
chr2L	16487897	16487898	chr2L	16422531	16422532	78.0999984741211
chr2L	16488389	16488390	chr2L	16422192	16422193	74.9000015258789
chr2L	16488896	16488897	chr2L	16422531	16422532	73.5
chr2L	16488390	16488391	chr2L	16422191	16422192	74.9000015258789
chr2L	16488389	16488390	chr2L	16422531	16422532	75.6999969482422
chr2L	16488389	16488390	chr2L	16421077	16421078	75.9000015258789
chr2L	16487898	16487899	chr2L	16421077	16421078	77.5
chr2L	16487898	16487899	chr2L	16420979	16420980	77.6999969482422
chr2L	16488389	16488390	chr2L	16420979	16420980	75.6999969482422
chr2L	16488896	16488897	chr2L	16421077	16421078	73.6999969482422
chr2L	16488886	16488887	chr2L	16421077	16421078	73.6999969482422
chr2L	16488896	16488897	chr2L	16420979	16420980	74.3000030517578
