chrom	start	end	w100	w150	w200	w250	w300	min	mean	stddev	max
chr2L	16320998	16323000	0.626265634	0.685337971	0.663256303	0.622663257	0.61555592	0.61555592	0.638105834166667	0.0266429528511214	0.685337971
chr2L	16323000	16326000	0.649086404	0.713100032	0.679253981	0.638372057	0.632111165	0.632111165	0.657339134	0.0296937049077931	0.713100032
chr2L	16326000	16329000	0.633947459	0.709037529	0.655258079	0.605111232	0.597281246	0.597281246	0.632986131833333	0.0400155523452639	0.709037529
chr2L	16329000	16332000	0.5941135	0.670682079	0.609529442	0.552785301	0.543267521	0.543267521	0.585607560666667	0.0457255211883783	0.670682079
chr2L	16332000	16335000	0.60072887	0.68745906	0.602426064	0.540024458	0.529189182	0.529189182	0.581502802666667	0.0566098281938378	0.68745906
chr2L	16335000	16338000	0.580503755	0.665719094	0.571310167	0.507538702	0.495620595	0.495620595	0.552718818	0.0611669305794927	0.665719094
chr2L	16338000	16341000	0.557044229	0.651236562	0.542692125	0.472519835	0.468467963	0.468467963	0.526738112833333	0.0663366381931804	0.651236562
chr2L	16341000	16344000	0.564786223	0.652065863	0.539515238	0.464805	0.463996823	0.463996823	0.524860995	0.0695287308882494	0.652065863
chr2L	16344000	16347000	0.69007428	0.747090077	0.62425973	0.55029382	0.545642193	0.545642193	0.617167048833333	0.0784744145874648	0.747090077
chr2L	16347000	16350000	0.816574097	0.850122573	0.717624038	0.649525012	0.641232291	0.641232291	0.719385050333333	0.0852811471234933	0.850122573
chr2L	16350000	16353000	1	1	0.852013811	0.796140077	0.781900109	0.781900109	0.868659017666667	0.0958220428772555	1
chr2L	16353000	16356000	0.964278641	0.954780185	0.807535332	0.749754577	0.735341422	0.735341422	0.824505263166667	0.0985597764464108	0.964278641
chr2L	16356000	16359000	0.979257858	0.940029767	0.797341433	0.744644079	0.726309981	0.726309981	0.818982183166667	0.102884692255357	0.979257858
chr2L	16359000	16362000	0.970404437	0.926908482	0.78542513	0.735121633	0.715097355	0.715097355	0.808009065333333	0.102953963647064	0.970404437
chr2L	16362000	16365000	0.931694777	0.887004072	0.751833944	0.702953749	0.682712966	0.682712966	0.773152079	0.0998655747612024	0.931694777
