chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16354000	16356000	chr2L	16354000	16356000	-19.4000015258789
chr2L	16356000	16359000	chr2L	16354000	16356000	-21.6421051025391
chr2L	16359000	16362000	chr2L	16354000	16356000	-20.9440002441406
chr2L	16362000	16365000	chr2L	16354000	16356000	-13.9333333969116
chr2L	16365000	16368000	chr2L	16354000	16356000	-12.9280004501343
chr2L	16368000	16371000	chr2L	16354000	16356000	-11.5200004577637
chr2L	16371000	16374000	chr2L	16354000	16356000	-11.4363632202148
chr2L	16374000	16377000	chr2L	16354000	16356000	-18.5777778625488
chr2L	16377000	16380000	chr2L	16354000	16356000	-16.4363632202148
chr2L	16380000	16383000	chr2L	16354000	16356000	-14.3199996948242
chr2L	16383000	16386000	chr2L	16354000	16356000	-12.7692308425903
chr2L	16386000	16389000	chr2L	16354000	16356000	-5.82857131958008
chr2L	16389000	16392000	chr2L	16354000	16356000	5.75384616851807
chr2L	16392000	16395000	chr2L	16354000	16356000	7.06666660308838
chr2L	16395000	16398000	chr2L	16354000	16356000	-7.06666660308838
chr2L	16398000	16401000	chr2L	16354000	16356000	-8.93333339691162
chr2L	16401000	16404000	chr2L	16354000	16356000	-11.0933332443237
chr2L	16404000	16407000	chr2L	16354000	16356000	-6.24615383148193
chr2L	16407000	16410000	chr2L	16354000	16356000	-4.74285697937012
chr2L	16410000	16413000	chr2L	16354000	16356000	-6.68571424484253
chr2L	16413000	16416000	chr2L	16354000	16356000	-10.1999998092651
chr2L	16416000	16419000	chr2L	16354000	16356000	-13.1999998092651
chr2L	16419000	16422000	chr2L	16354000	16356000	-17.1999988555908
chr2L	16422000	16425000	chr2L	16354000	16356000	-20.3999996185303
chr2L	16425000	16428000	chr2L	16354000	16356000	-21.3999996185303
chr2L	16428000	16431000	chr2L	16354000	16356000	-20.7000007629395
chr2L	16431000	16434000	chr2L	16354000	16356000	-19
chr2L	16434000	16437000	chr2L	16354000	16356000	0
chr2L	16437000	16440000	chr2L	16354000	16356000	-9
chr2L	16440000	16443000	chr2L	16354000	16356000	-7.59999990463257
chr2L	16443000	16446000	chr2L	16354000	16356000	-9.15999984741211
chr2L	16446000	16449000	chr2L	16354000	16356000	-10.8888893127441
chr2L	16449000	16452000	chr2L	16354000	16356000	-16.1200008392334
chr2L	16452000	16455000	chr2L	16354000	16356000	-21.5499992370605
chr2L	16455000	16458000	chr2L	16354000	16356000	-19.3600006103516
chr2L	16458000	16461000	chr2L	16354000	16356000	-17.8999996185303
chr2L	16461000	16464000	chr2L	16354000	16356000	-10.9230766296387
chr2L	16464000	16467000	chr2L	16354000	16356000	-1.68888890743256
chr2L	16467000	16470000	chr2L	16354000	16356000	13.4909086227417
chr2L	16470000	16473000	chr2L	16354000	16356000	17.6499996185303
chr2L	16473000	16476000	chr2L	16354000	16356000	20.9333343505859
chr2L	16476000	16479000	chr2L	16354000	16356000	17.3999996185303
chr2L	16479000	16482000	chr2L	16354000	16356000	13.7333335876465
chr2L	16482000	16485000	chr2L	16354000	16356000	20
chr2L	16485000	16488000	chr2L	16354000	16356000	17.466667175293
chr2L	16488000	16491000	chr2L	16354000	16356000	17.3714275360107
chr2L	16491000	16494000	chr2L	16354000	16356000	25.5499992370605
chr2L	16494000	16497000	chr2L	16354000	16356000	20.5142860412598
chr2L	16497000	16500000	chr2L	16354000	16356000	19.3333339691162
chr2L	16354000	16356000	chr2L	16356000	16359000	-21.6421051025391
chr2L	16356000	16359000	chr2L	16356000	16359000	-20.9333343505859
chr2L	16359000	16362000	chr2L	16356000	16359000	-19.8434772491455
chr2L	16362000	16365000	chr2L	16356000	16359000	-16
chr2L	16365000	16368000	chr2L	16356000	16359000	-10.4250001907349
chr2L	16368000	16371000	chr2L	16356000	16359000	-17.6000003814697
chr2L	16371000	16374000	chr2L	16356000	16359000	-15.8400001525879
chr2L	16374000	16377000	chr2L	16356000	16359000	-25.1235294342041
chr2L	16377000	16380000	chr2L	16356000	16359000	-16
chr2L	16380000	16383000	chr2L	16356000	16359000	-20.4500007629395
chr2L	16383000	16386000	chr2L	16356000	16359000	-15.1111116409302
chr2L	16386000	16389000	chr2L	16356000	16359000	-5.09999990463257
chr2L	16389000	16392000	chr2L	16356000	16359000	5.72307682037354
chr2L	16392000	16395000	chr2L	16356000	16359000	9.88000011444092
chr2L	16395000	16398000	chr2L	16356000	16359000	-8.66666603088379
chr2L	16398000	16401000	chr2L	16356000	16359000	-11.0222225189209
chr2L	16401000	16404000	chr2L	16356000	16359000	-14.1777772903442
chr2L	16404000	16407000	chr2L	16356000	16359000	-10.1454544067383
chr2L	16407000	16410000	chr2L	16356000	16359000	-10.1333332061768
chr2L	16410000	16413000	chr2L	16356000	16359000	-10.3428573608398
chr2L	16413000	16416000	chr2L	16356000	16359000	-10.3999996185303
chr2L	16416000	16419000	chr2L	16356000	16359000	-22.1599998474121
chr2L	16419000	16422000	chr2L	16356000	16359000	-24
chr2L	16422000	16425000	chr2L	16356000	16359000	-29.7000007629395
chr2L	16425000	16428000	chr2L	16356000	16359000	-22.2666664123535
chr2L	16428000	16431000	chr2L	16356000	16359000	0
chr2L	16431000	16434000	chr2L	16356000	16359000	-22.2000007629395
chr2L	16434000	16437000	chr2L	16356000	16359000	-15.5333337783813
chr2L	16437000	16440000	chr2L	16356000	16359000	-9.33333301544189
chr2L	16440000	16443000	chr2L	16356000	16359000	-9.59999942779541
chr2L	16443000	16446000	chr2L	16356000	16359000	-11.6666669845581
chr2L	16446000	16449000	chr2L	16356000	16359000	-11.7714290618896
chr2L	16449000	16452000	chr2L	16356000	16359000	-15.6000003814697
chr2L	16452000	16455000	chr2L	16356000	16359000	-22.3999996185303
chr2L	16455000	16458000	chr2L	16356000	16359000	-17.8999996185303
chr2L	16458000	16461000	chr2L	16356000	16359000	-16.7999992370605
chr2L	16461000	16464000	chr2L	16356000	16359000	-8.26666641235352
chr2L	16464000	16467000	chr2L	16356000	16359000	10.8999996185303
chr2L	16467000	16470000	chr2L	16356000	16359000	16.7999992370605
chr2L	16470000	16473000	chr2L	16356000	16359000	25.2999992370605
chr2L	16473000	16476000	chr2L	16356000	16359000	23.0499992370605
chr2L	16476000	16479000	chr2L	16356000	16359000	20.5454540252686
chr2L	16479000	16482000	chr2L	16356000	16359000	19.6888885498047
chr2L	16482000	16485000	chr2L	16356000	16359000	22.6666660308838
chr2L	16485000	16488000	chr2L	16356000	16359000	20.7999992370605
chr2L	16488000	16491000	chr2L	16356000	16359000	21.2124996185303
chr2L	16491000	16494000	chr2L	16356000	16359000	25.6333332061768
chr2L	16494000	16497000	chr2L	16356000	16359000	23.2000007629395
chr2L	16497000	16500000	chr2L	16356000	16359000	16
chr2L	16354000	16356000	chr2L	16359000	16362000	-20.9440002441406
chr2L	16356000	16359000	chr2L	16359000	16362000	-19.8434772491455
chr2L	16359000	16362000	chr2L	16359000	16362000	0
chr2L	16362000	16365000	chr2L	16359000	16362000	-17.6800003051758
chr2L	16365000	16368000	chr2L	16359000	16362000	-16.2620697021484
chr2L	16368000	16371000	chr2L	16359000	16362000	-25.8071422576904
chr2L	16371000	16374000	chr2L	16359000	16362000	-25.9862060546875
chr2L	16374000	16377000	chr2L	16359000	16362000	-34.4058837890625
chr2L	16377000	16380000	chr2L	16359000	16362000	-17.9555549621582
chr2L	16380000	16383000	chr2L	16359000	16362000	-18.3578948974609
chr2L	16383000	16386000	chr2L	16359000	16362000	-13.9777774810791
chr2L	16386000	16389000	chr2L	16359000	16362000	8.49230766296387
chr2L	16389000	16392000	chr2L	16359000	16362000	9.16521739959717
chr2L	16392000	16395000	chr2L	16359000	16362000	9.74285697937012
chr2L	16395000	16398000	chr2L	16359000	16362000	-11.8400001525879
chr2L	16398000	16401000	chr2L	16359000	16362000	-17.5200004577637
chr2L	16401000	16404000	chr2L	16359000	16362000	-18.3999996185303
chr2L	16404000	16407000	chr2L	16359000	16362000	-15.1800003051758
chr2L	16407000	16410000	chr2L	16359000	16362000	-11.1692304611206
chr2L	16410000	16413000	chr2L	16359000	16362000	-12.457142829895
chr2L	16413000	16416000	chr2L	16359000	16362000	-12
chr2L	16416000	16419000	chr2L	16359000	16362000	-22.6571426391602
chr2L	16419000	16422000	chr2L	16359000	16362000	-28.1000003814697
chr2L	16422000	16425000	chr2L	16359000	16362000	-27.1000003814697
chr2L	16425000	16428000	chr2L	16359000	16362000	-22.6000003814697
chr2L	16428000	16431000	chr2L	16359000	16362000	-23.7999992370605
chr2L	16431000	16434000	chr2L	16359000	16362000	-19
chr2L	16434000	16437000	chr2L	16359000	16362000	-16
chr2L	16437000	16440000	chr2L	16359000	16362000	-10.7333335876465
chr2L	16440000	16443000	chr2L	16359000	16362000	-10.3999996185303
chr2L	16443000	16446000	chr2L	16359000	16362000	-12.4400005340576
chr2L	16446000	16449000	chr2L	16359000	16362000	-9.53846168518066
chr2L	16449000	16452000	chr2L	16359000	16362000	-9.09473705291748
chr2L	16452000	16455000	chr2L	16359000	16362000	-12.3714284896851
chr2L	16455000	16458000	chr2L	16359000	16362000	-12.1999998092651
chr2L	16458000	16461000	chr2L	16359000	16362000	-5.59999990463257
chr2L	16461000	16464000	chr2L	16359000	16362000	4.5
chr2L	16464000	16467000	chr2L	16359000	16362000	12.3199996948242
chr2L	16467000	16470000	chr2L	16359000	16362000	20
chr2L	16470000	16473000	chr2L	16359000	16362000	26.3666667938232
chr2L	16473000	16476000	chr2L	16359000	16362000	27.1399993896484
chr2L	16476000	16479000	chr2L	16359000	16362000	24.1000003814697
chr2L	16479000	16482000	chr2L	16359000	16362000	23.1199989318848
chr2L	16482000	16485000	chr2L	16359000	16362000	23.8999996185303
chr2L	16485000	16488000	chr2L	16359000	16362000	27.5142860412598
chr2L	16488000	16491000	chr2L	16359000	16362000	29.2111110687256
chr2L	16491000	16494000	chr2L	16359000	16362000	31.1000003814697
chr2L	16494000	16497000	chr2L	16359000	16362000	29.9400005340576
chr2L	16497000	16500000	chr2L	16359000	16362000	27.1000003814697
chr2L	16354000	16356000	chr2L	16362000	16365000	-13.9333333969116
chr2L	16356000	16359000	chr2L	16362000	16365000	-16
chr2L	16359000	16362000	chr2L	16362000	16365000	-17.6800003051758
chr2L	16362000	16365000	chr2L	16362000	16365000	0
chr2L	16365000	16368000	chr2L	16362000	16365000	-24.2374992370605
chr2L	16368000	16371000	chr2L	16362000	16365000	-30.7000007629395
chr2L	16371000	16374000	chr2L	16362000	16365000	-33.1181831359863
chr2L	16374000	16377000	chr2L	16362000	16365000	-37.0999984741211
chr2L	16377000	16380000	chr2L	16362000	16365000	-18.5
chr2L	16380000	16383000	chr2L	16362000	16365000	-18.5777778625488
chr2L	16383000	16386000	chr2L	16362000	16365000	-11.1999998092651
chr2L	16386000	16389000	chr2L	16362000	16365000	5.82857131958008
chr2L	16389000	16392000	chr2L	16362000	16365000	8.64000034332275
chr2L	16392000	16395000	chr2L	16362000	16365000	11.6999998092651
chr2L	16395000	16398000	chr2L	16362000	16365000	-13.7333335876465
chr2L	16398000	16401000	chr2L	16362000	16365000	-15.8000001907349
chr2L	16401000	16404000	chr2L	16362000	16365000	-19.5428581237793
chr2L	16404000	16407000	chr2L	16362000	16365000	-17.8222217559814
chr2L	16407000	16410000	chr2L	16362000	16365000	-12.2399997711182
chr2L	16410000	16413000	chr2L	16362000	16365000	-10
chr2L	16413000	16416000	chr2L	16362000	16365000	-13.8000001907349
chr2L	16416000	16419000	chr2L	16362000	16365000	-18.6000003814697
chr2L	16419000	16422000	chr2L	16362000	16365000	-27.9400005340576
chr2L	16422000	16425000	chr2L	16362000	16365000	0
chr2L	16425000	16428000	chr2L	16362000	16365000	-24.0499992370605
chr2L	16428000	16431000	chr2L	16362000	16365000	-21.5999984741211
chr2L	16431000	16434000	chr2L	16362000	16365000	-22.8000011444092
chr2L	16434000	16437000	chr2L	16362000	16365000	-20.1999988555908
chr2L	16437000	16440000	chr2L	16362000	16365000	-14.3999996185303
chr2L	16440000	16443000	chr2L	16362000	16365000	-10.3199996948242
chr2L	16443000	16446000	chr2L	16362000	16365000	-9.79999923706055
chr2L	16446000	16449000	chr2L	16362000	16365000	-10.3999996185303
chr2L	16449000	16452000	chr2L	16362000	16365000	-7.64444446563721
