chrom	start	end	w100	w150	w200	w250	w300	min	mean	stddev	max
chr2L	16320998	16323000	0.610969005	0.688645094	0.678511967	0.656825775	0.660674383	0.610969005	0.651099204833333	0.0302943802352998	0.688645094
chr2L	16323000	16326000	0.645010969	0.723662385	0.702153985	0.680672486	0.685020381	0.645010969	0.680255195833333	0.0284924937753543	0.723662385
chr2L	16326000	16329000	0.626409668	0.713001614	0.674559185	0.642328067	0.64660083	0.626409668	0.654884838666667	0.0305848750257893	0.713001614
chr2L	16329000	16332000	0.581067959	0.673001176	0.625667034	0.584589693	0.587998862	0.581067959	0.605565447166667	0.0339128106245291	0.673001176
chr2L	16332000	16335000	0.585434218	0.688745561	0.612691811	0.566146014	0.573576459	0.566146014	0.598790012833333	0.0432639621209733	0.688745561
chr2L	16335000	16338000	0.554860385	0.660818426	0.575001498	0.525716799	0.532324973	0.525716799	0.56240648	0.0474300389887232	0.660818426
chr2L	16338000	16341000	0.523131484	0.63440354	0.534713232	0.48011919	0.487297061	0.48011919	0.523297282833333	0.0540056526975211	0.63440354
chr2L	16341000	16344000	0.541889691	0.643026525	0.539450557	0.482757183	0.493420065	0.482757183	0.530550200666667	0.0559846942914087	0.643026525
chr2L	16344000	16347000	0.665523971	0.729782105	0.615530104	0.559451645	0.568910554	0.559451645	0.616441670666667	0.0632599008288069	0.729782105
chr2L	16347000	16350000	0.797716292	0.831536702	0.706304894	0.656292738	0.663903497	0.656292738	0.718674476833333	0.0706178918612078	0.831536702
chr2L	16350000	16353000	0.98187909	0.972998942	0.832207689	0.795203411	0.802224062	0.795203411	0.863286100833333	0.081717144442274	0.98187909
chr2L	16353000	16356000	0.945729675	0.931471661	0.792424797	0.75327963	0.759659953	0.75327963	0.822640891	0.083163057892701	0.945729675
chr2L	16356000	16359000	0.97105068	0.927416669	0.79185212	0.758039925	0.758768932	0.758039925	0.827528041833333	0.0877821819898337	0.97105068
chr2L	16359000	16362000	0.965729417	0.915789764	0.782281096	0.750455755	0.750233282	0.750233282	0.819120432666667	0.0879412755259029	0.965729417
chr2L	16362000	16365000	0.955315316	0.902045746	0.770653335	0.743357741	0.741501227	0.741501227	0.809062432	0.0865613469883306	0.955315316
chr2L	16365000	16368000	0.928138404	0.874736756	0.744385886	0.716916402	0.719226222	0.716916402	0.783386678666667	0.0854128405689807	0.928138404
