chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16486243	16486244	chr2L	16425017	16425018	82.3000030517578
chr2L	16486243	16486244	chr2L	16424661	16424662	82.5
chr2L	16486242	16486243	chr2L	16424660	16424661	82.5
chr2L	16486242	16486243	chr2L	16424661	16424662	82.5
chr2L	16486243	16486244	chr2L	16424660	16424661	82.5
chr2L	16486243	16486244	chr2L	16425016	16425017	82.3000030517578
chr2L	16486242	16486243	chr2L	16425016	16425017	82.3000030517578
chr2L	16486242	16486243	chr2L	16425017	16425018	82.3000030517578
chr2L	16484503	16484504	chr2L	16425017	16425018	81.9000015258789
chr2L	16485361	16485362	chr2L	16425016	16425017	82.0999984741211
chr2L	16484503	16484504	chr2L	16425016	16425017	81.9000015258789
chr2L	16484465	16484466	chr2L	16424661	16424662	82.3000030517578
chr2L	16485361	16485362	chr2L	16424661	16424662	82.5
chr2L	16485360	16485361	chr2L	16425016	16425017	82.0999984741211
chr2L	16485360	16485361	chr2L	16424660	16424661	82.5
chr2L	16485361	16485362	chr2L	16424660	16424661	82.5
chr2L	16484465	16484466	chr2L	16425017	16425018	81.3000030517578
chr2L	16485360	16485361	chr2L	16424661	16424662	82.5
chr2L	16484465	16484466	chr2L	16425016	16425017	81.0999984741211
chr2L	16485360	16485361	chr2L	16425017	16425018	82.0999984741211
chr2L	16484503	16484504	chr2L	16424660	16424661	82.3000030517578
chr2L	16485361	16485362	chr2L	16425017	16425018	82.0999984741211
chr2L	16484465	16484466	chr2L	16424660	16424661	82.3000030517578
chr2L	16484503	16484504	chr2L	16424661	16424662	81.9000015258789
chr2L	16483015	16483016	chr2L	16425016	16425017	78.6999969482422
chr2L	16483015	16483016	chr2L	16425017	16425018	78.6999969482422
chr2L	16483014	16483015	chr2L	16425017	16425018	78.6999969482422
chr2L	16483014	16483015	chr2L	16425016	16425017	78.6999969482422
chr2L	16483716	16483717	chr2L	16425017	16425018	81.0999984741211
chr2L	16484123	16484124	chr2L	16425016	16425017	81.0999984741211
chr2L	16484109	16484110	chr2L	16425016	16425017	81.5
chr2L	16483715	16483716	chr2L	16425017	16425018	81.0999984741211
chr2L	16483715	16483716	chr2L	16425016	16425017	81.0999984741211
chr2L	16483716	16483717	chr2L	16425016	16425017	81.0999984741211
chr2L	16484123	16484124	chr2L	16425017	16425018	81.5
chr2L	16484109	16484110	chr2L	16425017	16425018	81.3000030517578
chr2L	16484109	16484110	chr2L	16424660	16424661	80.9000015258789
chr2L	16483716	16483717	chr2L	16424660	16424661	79.6999969482422
chr2L	16483715	16483716	chr2L	16424660	16424661	79.6999969482422
chr2L	16484123	16484124	chr2L	16424661	16424662	81.0999984741211
chr2L	16484123	16484124	chr2L	16424660	16424661	81.0999984741211
chr2L	16483715	16483716	chr2L	16424661	16424662	79.6999969482422
chr2L	16484109	16484110	chr2L	16424661	16424662	80.6999969482422
chr2L	16483716	16483717	chr2L	16424661	16424662	79.6999969482422
chr2L	16483015	16483016	chr2L	16424660	16424661	78.9000015258789
chr2L	16483015	16483016	chr2L	16424661	16424662	78.9000015258789
chr2L	16483014	16483015	chr2L	16424661	16424662	78.9000015258789
chr2L	16483015	16483016	chr2L	16422441	16422442	77.3000030517578
chr2L	16483015	16483016	chr2L	16422191	16422192	75.9000015258789
chr2L	16483014	16483015	chr2L	16422441	16422442	77.3000030517578
chr2L	16483015	16483016	chr2L	16422192	16422193	75.5
chr2L	16483014	16483015	chr2L	16422191	16422192	75.9000015258789
