chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16321000	16323000	chr2L	16321000	16323000	44.7999992370605
chr2L	16323000	16326000	chr2L	16321000	16323000	53.753059387207
chr2L	16326000	16329000	chr2L	16321000	16323000	-13.2384614944458
chr2L	16329000	16332000	chr2L	16321000	16323000	-41.5250015258789
chr2L	16332000	16335000	chr2L	16321000	16323000	-53.9862060546875
chr2L	16335000	16338000	chr2L	16321000	16323000	-55.3619041442871
chr2L	16338000	16341000	chr2L	16321000	16323000	-47.3310356140137
chr2L	16341000	16344000	chr2L	16321000	16323000	-41.482608795166
chr2L	16344000	16347000	chr2L	16321000	16323000	-41.0555572509766
chr2L	16347000	16350000	chr2L	16321000	16323000	-36.9692306518555
chr2L	16350000	16353000	chr2L	16321000	16323000	-44.3333320617676
chr2L	16353000	16356000	chr2L	16321000	16323000	-45.5636367797852
chr2L	16356000	16359000	chr2L	16321000	16323000	-53.533332824707
chr2L	16359000	16362000	chr2L	16321000	16323000	-67.6999969482422
chr2L	16362000	16365000	chr2L	16321000	16323000	-71.3000030517578
chr2L	16365000	16368000	chr2L	16321000	16323000	-75.120002746582
chr2L	16368000	16371000	chr2L	16321000	16323000	-77.6999969482422
chr2L	16371000	16374000	chr2L	16321000	16323000	-76.1999969482422
chr2L	16374000	16377000	chr2L	16321000	16323000	-74.75
chr2L	16377000	16380000	chr2L	16321000	16323000	-72.4250030517578
chr2L	16380000	16383000	chr2L	16321000	16323000	-71.0999984741211
chr2L	16383000	16386000	chr2L	16321000	16323000	-69.0666656494141
chr2L	16386000	16389000	chr2L	16321000	16323000	-66.6999969482422
chr2L	16389000	16392000	chr2L	16321000	16323000	-69.0666656494141
chr2L	16392000	16395000	chr2L	16321000	16323000	-75.379997253418
chr2L	16395000	16398000	chr2L	16321000	16323000	-80.3000030517578
chr2L	16398000	16401000	chr2L	16321000	16323000	-80.1000061035156
chr2L	16401000	16404000	chr2L	16321000	16323000	-75.716667175293
chr2L	16404000	16407000	chr2L	16321000	16323000	-74
chr2L	16407000	16410000	chr2L	16321000	16323000	-66.8571395874023
chr2L	16410000	16413000	chr2L	16321000	16323000	-67.5999984741211
chr2L	16413000	16416000	chr2L	16321000	16323000	-64.4000015258789
chr2L	16416000	16419000	chr2L	16321000	16323000	-64.1999969482422
chr2L	16419000	16422000	chr2L	16321000	16323000	-60.6500015258789
chr2L	16422000	16425000	chr2L	16321000	16323000	-60.4000015258789
chr2L	16425000	16428000	chr2L	16321000	16323000	-62.466667175293
chr2L	16428000	16431000	chr2L	16321000	16323000	-61.2000007629395
chr2L	16431000	16434000	chr2L	16321000	16323000	0
chr2L	16434000	16437000	chr2L	16321000	16323000	-61.4000015258789
chr2L	16437000	16440000	chr2L	16321000	16323000	0
chr2L	16440000	16443000	chr2L	16321000	16323000	-48.7750015258789
chr2L	16443000	16446000	chr2L	16321000	16323000	-48.2999992370605
chr2L	16446000	16449000	chr2L	16321000	16323000	-40.7000007629395
chr2L	16449000	16452000	chr2L	16321000	16323000	-40.0999984741211
chr2L	16452000	16455000	chr2L	16321000	16323000	-40.3666687011719
chr2L	16455000	16458000	chr2L	16321000	16323000	-44.9000015258789
chr2L	16458000	16461000	chr2L	16321000	16323000	-48.5
chr2L	16461000	16464000	chr2L	16321000	16323000	-50.2999992370605
chr2L	16464000	16467000	chr2L	16321000	16323000	-53.9000015258789
chr2L	16467000	16470000	chr2L	16321000	16323000	-47.75
chr2L	16470000	16473000	chr2L	16321000	16323000	-45.4000015258789
chr2L	16473000	16476000	chr2L	16321000	16323000	-44.7999992370605
chr2L	16476000	16479000	chr2L	16321000	16323000	-38.3400001525879
chr2L	16479000	16482000	chr2L	16321000	16323000	-40.7000007629395
chr2L	16482000	16485000	chr2L	16321000	16323000	-28.7000007629395
chr2L	16485000	16488000	chr2L	16321000	16323000	-21
chr2L	16488000	16491000	chr2L	16321000	16323000	6.77142858505249
chr2L	16491000	16494000	chr2L	16321000	16323000	22.2666664123535
chr2L	16494000	16497000	chr2L	16321000	16323000	32
chr2L	16497000	16500000	chr2L	16321000	16323000	35.3600006103516
chr2L	16500000	16503000	chr2L	16321000	16323000	0
chr2L	16503000	16506000	chr2L	16321000	16323000	31.6000003814697
chr2L	16506000	16509000	chr2L	16321000	16323000	26.2888889312744
chr2L	16509000	16512000	chr2L	16321000	16323000	21.1000003814697
chr2L	16321000	16323000	chr2L	16323000	16326000	53.753059387207
chr2L	16323000	16326000	chr2L	16323000	16326000	61.5400009155273
chr2L	16326000	16329000	chr2L	16323000	16326000	-13.5626983642578
chr2L	16329000	16332000	chr2L	16323000	16326000	-42.3788452148438
chr2L	16332000	16335000	chr2L	16323000	16326000	-59.0696983337402
chr2L	16335000	16338000	chr2L	16323000	16326000	-58.1121215820312
chr2L	16338000	16341000	chr2L	16323000	16326000	-46.9338989257812
chr2L	16341000	16344000	chr2L	16323000	16326000	-41.9655723571777
chr2L	16344000	16347000	chr2L	16323000	16326000	-41.7083320617676
chr2L	16347000	16350000	chr2L	16323000	16326000	-32.3375015258789
chr2L	16350000	16353000	chr2L	16323000	16326000	-35.9769248962402
chr2L	16353000	16356000	chr2L	16323000	16326000	-39.067741394043
chr2L	16356000	16359000	chr2L	16323000	16326000	-49.0352935791016
chr2L	16359000	16362000	chr2L	16323000	16326000	-66.0999984741211
chr2L	16362000	16365000	chr2L	16323000	16326000	-69
chr2L	16365000	16368000	chr2L	16323000	16326000	-73.6812515258789
chr2L	16368000	16371000	chr2L	16323000	16326000	-74.9833374023438
chr2L	16371000	16374000	chr2L	16323000	16326000	-72.4384613037109
chr2L	16374000	16377000	chr2L	16323000	16326000	-69.2666702270508
chr2L	16377000	16380000	chr2L	16323000	16326000	-69.5500030517578
chr2L	16380000	16383000	chr2L	16323000	16326000	-67.3400039672852
chr2L	16383000	16386000	chr2L	16323000	16326000	-66.5999984741211
chr2L	16386000	16389000	chr2L	16323000	16326000	-70
chr2L	16389000	16392000	chr2L	16323000	16326000	-71.9199981689453
chr2L	16392000	16395000	chr2L	16323000	16326000	-75.2750015258789
chr2L	16395000	16398000	chr2L	16323000	16326000	-77.5
chr2L	16398000	16401000	chr2L	16323000	16326000	-76.1166687011719
chr2L	16401000	16404000	chr2L	16323000	16326000	-73.9285736083984
chr2L	16404000	16407000	chr2L	16323000	16326000	-72.1272735595703
chr2L	16407000	16410000	chr2L	16323000	16326000	-68.9714279174805
chr2L	16410000	16413000	chr2L	16323000	16326000	-65.0285720825195
chr2L	16413000	16416000	chr2L	16323000	16326000	-64.9333343505859
chr2L	16416000	16419000	chr2L	16323000	16326000	-64.0222244262695
chr2L	16419000	16422000	chr2L	16323000	16326000	-60.466667175293
chr2L	16422000	16425000	chr2L	16323000	16326000	-57.7333335876465
chr2L	16425000	16428000	chr2L	16323000	16326000	-58.1500015258789
chr2L	16428000	16431000	chr2L	16323000	16326000	-57.7333335876465
chr2L	16431000	16434000	chr2L	16323000	16326000	-56.5999984741211
chr2L	16434000	16437000	chr2L	16323000	16326000	-56.033332824707
chr2L	16437000	16440000	chr2L	16323000	16326000	-51.6888885498047
chr2L	16440000	16443000	chr2L	16323000	16326000	-48.9625015258789
chr2L	16443000	16446000	chr2L	16323000	16326000	-43.9857139587402
chr2L	16446000	16449000	chr2L	16323000	16326000	-37.038459777832
chr2L	16449000	16452000	chr2L	16323000	16326000	-37.1545448303223
chr2L	16452000	16455000	chr2L	16323000	16326000	-39.0428581237793
chr2L	16455000	16458000	chr2L	16323000	16326000	-43.466667175293
chr2L	16458000	16461000	chr2L	16323000	16326000	-45.2999992370605
chr2L	16461000	16464000	chr2L	16323000	16326000	-44.5111122131348
chr2L	16464000	16467000	chr2L	16323000	16326000	-49.3199996948242
chr2L	16467000	16470000	chr2L	16323000	16326000	-44.2666664123535
chr2L	16470000	16473000	chr2L	16323000	16326000	-40.0142860412598
chr2L	16473000	16476000	chr2L	16323000	16326000	-41.8600006103516
chr2L	16476000	16479000	chr2L	16323000	16326000	-37.2636375427246
chr2L	16479000	16482000	chr2L	16323000	16326000	-33.0250015258789
chr2L	16482000	16485000	chr2L	16323000	16326000	-22.3769226074219
chr2L	16485000	16488000	chr2L	16323000	16326000	-5.63333320617676
chr2L	16488000	16491000	chr2L	16323000	16326000	15.7333335876465
chr2L	16491000	16494000	chr2L	16323000	16326000	31.6000003814697
chr2L	16494000	16497000	chr2L	16323000	16326000	33.3538475036621
chr2L	16497000	16500000	chr2L	16323000	16326000	34.9000015258789
chr2L	16500000	16503000	chr2L	16323000	16326000	31.0750007629395
chr2L	16503000	16506000	chr2L	16323000	16326000	33.466667175293
chr2L	16506000	16509000	chr2L	16323000	16326000	26.6800003051758
chr2L	16509000	16512000	chr2L	16323000	16326000	18.9750003814697
chr2L	16321000	16323000	chr2L	16326000	16329000	-13.2384614944458
chr2L	16323000	16326000	chr2L	16326000	16329000	-13.5626983642578
chr2L	16326000	16329000	chr2L	16326000	16329000	57.2789459228516
chr2L	16329000	16332000	chr2L	16326000	16329000	24.6717586517334
chr2L	16332000	16335000	chr2L	16326000	16329000	10.7145347595215
chr2L	16335000	16338000	chr2L	16326000	16329000	26.2171115875244
chr2L	16338000	16341000	chr2L	16326000	16329000	18.1175174713135
chr2L	16341000	16344000	chr2L	16326000	16329000	18.9059600830078
chr2L	16344000	16347000	chr2L	16326000	16329000	28.8656482696533
chr2L	16347000	16350000	chr2L	16326000	16329000	42.0837020874023
chr2L	16350000	16353000	chr2L	16326000	16329000	14.0666666030884
chr2L	16353000	16356000	chr2L	16326000	16329000	-6.49361705780029
chr2L	16356000	16359000	chr2L	16326000	16329000	-23.5516128540039
chr2L	16359000	16362000	chr2L	16326000	16329000	-50.533332824707
chr2L	16362000	16365000	chr2L	16326000	16329000	-59.1066665649414
chr2L	16365000	16368000	chr2L	16326000	16329000	-64.4499969482422
chr2L	16368000	16371000	chr2L	16326000	16329000	-68.2666625976562
chr2L	16371000	16374000	chr2L	16326000	16329000	-64.7789459228516
chr2L	16374000	16377000	chr2L	16326000	16329000	-61.8400001525879
chr2L	16377000	16380000	chr2L	16326000	16329000	-67.466667175293
chr2L	16380000	16383000	chr2L	16326000	16329000	-68.9166641235352
chr2L	16383000	16386000	chr2L	16326000	16329000	-67.9124984741211
chr2L	16386000	16389000	chr2L	16326000	16329000	-70.4285736083984
chr2L	16389000	16392000	chr2L	16326000	16329000	-72.014289855957
chr2L	16392000	16395000	chr2L	16326000	16329000	-71.2714309692383
chr2L	16395000	16398000	chr2L	16326000	16329000	-68.3333282470703
chr2L	16398000	16401000	chr2L	16326000	16329000	-66.4727249145508
chr2L	16401000	16404000	chr2L	16326000	16329000	-65.9166641235352
chr2L	16404000	16407000	chr2L	16326000	16329000	-68.6999969482422
chr2L	16407000	16410000	chr2L	16326000	16329000	-66.363639831543
chr2L	16410000	16413000	chr2L	16326000	16329000	-59.9714279174805
chr2L	16413000	16416000	chr2L	16326000	16329000	-56.2999992370605
chr2L	16416000	16419000	chr2L	16326000	16329000	-57.8250007629395
chr2L	16419000	16422000	chr2L	16326000	16329000	-55.6666679382324
chr2L	16422000	16425000	chr2L	16326000	16329000	-52.8600006103516
chr2L	16425000	16428000	chr2L	16326000	16329000	-52.7777786254883
chr2L	16428000	16431000	chr2L	16326000	16329000	-54.3666648864746
chr2L	16431000	16434000	chr2L	16326000	16329000	-53.0499992370605
chr2L	16434000	16437000	chr2L	16326000	16329000	-50.2571411132812
chr2L	16437000	16440000	chr2L	16326000	16329000	-46.8666687011719
chr2L	16440000	16443000	chr2L	16326000	16329000	-44.7666664123535
chr2L	16443000	16446000	chr2L	16326000	16329000	-39.728572845459
chr2L	16446000	16449000	chr2L	16326000	16329000	-35.9857139587402
chr2L	16449000	16452000	chr2L	16326000	16329000	-36.3947372436523
chr2L	16452000	16455000	chr2L	16326000	16329000	-36.0250015258789
chr2L	16455000	16458000	chr2L	16326000	16329000	-36.4333343505859
chr2L	16458000	16461000	chr2L	16326000	16329000	-37.9222221374512
chr2L	16461000	16464000	chr2L	16326000	16329000	-35.033332824707
chr2L	16464000	16467000	chr2L	16326000	16329000	-35.8499984741211
chr2L	16467000	16470000	chr2L	16326000	16329000	-35.1666679382324
chr2L	16470000	16473000	chr2L	16326000	16329000	-31.7399997711182
chr2L	16473000	16476000	chr2L	16326000	16329000	-35.533332824707
chr2L	16476000	16479000	chr2L	16326000	16329000	-35.7727279663086
chr2L	16479000	16482000	chr2L	16326000	16329000	-29.7199993133545
chr2L	16482000	16485000	chr2L	16326000	16329000	-14
chr2L	16485000	16488000	chr2L	16326000	16329000	11.4799995422363
chr2L	16488000	16491000	chr2L	16326000	16329000	16.7321434020996
chr2L	16491000	16494000	chr2L	16326000	16329000	30.6000003814697
chr2L	16494000	16497000	chr2L	16326000	16329000	34.7000007629395
chr2L	16497000	16500000	chr2L	16326000	16329000	30.58571434021
chr2L	16500000	16503000	chr2L	16326000	16329000	26.8999996185303
chr2L	16503000	16506000	chr2L	16326000	16329000	18.7299995422363
chr2L	16506000	16509000	chr2L	16326000	16329000	8.91764736175537
chr2L	16509000	16512000	chr2L	16326000	16329000	3.96666669845581
chr2L	16321000	16323000	chr2L	16329000	16332000	-41.5250015258789
chr2L	16323000	16326000	chr2L	16329000	16332000	-42.3788452148438
chr2L	16326000	16329000	chr2L	16329000	16332000	24.6717586517334
chr2L	16329000	16332000	chr2L	16329000	16332000	37.9863014221191
chr2L	16332000	16335000	chr2L	16329000	16332000	30.1834621429443
chr2L	16335000	16338000	chr2L	16329000	16332000	39.3412170410156
chr2L	16338000	16341000	chr2L	16329000	16332000	42.1406593322754
chr2L	16341000	16344000	chr2L	16329000	16332000	50.2170562744141
chr2L	16344000	16347000	chr2L	16329000	16332000	50.817512512207
chr2L	16347000	16350000	chr2L	16329000	16332000	52.4477615356445
chr2L	16350000	16353000	chr2L	16329000	16332000	13.4586210250854
chr2L	16353000	16356000	chr2L	16329000	16332000	-13.1433334350586
chr2L	16356000	16359000	chr2L	16329000	16332000	-29.624324798584
chr2L	16359000	16362000	chr2L	16329000	16332000	-43.1444435119629
chr2L	16362000	16365000	chr2L	16329000	16332000	-52.5076904296875
chr2L	16365000	16368000	chr2L	16329000	16332000	-64.3666687011719
chr2L	16368000	16371000	chr2L	16329000	16332000	-66.4499969482422
chr2L	16371000	16374000	chr2L	16329000	16332000	-64.9375
chr2L	16374000	16377000	chr2L	16329000	16332000	-62.9799995422363
chr2L	16377000	16380000	chr2L	16329000	16332000	-65.457145690918
chr2L	16380000	16383000	chr2L	16329000	16332000	-69.7333374023438
chr2L	16383000	16386000	chr2L	16329000	16332000	-69.9199981689453
chr2L	16386000	16389000	chr2L	16329000	16332000	-69.4428558349609
chr2L	16389000	16392000	chr2L	16329000	16332000	-66.0545501708984
chr2L	16392000	16395000	chr2L	16329000	16332000	-63.3647041320801
chr2L	16395000	16398000	chr2L	16329000	16332000	-62.4000015258789
chr2L	16398000	16401000	chr2L	16329000	16332000	-61.4461555480957
chr2L	16401000	16404000	chr2L	16329000	16332000	-62.6599998474121
chr2L	16404000	16407000	chr2L	16329000	16332000	-66.3199996948242
chr2L	16407000	16410000	chr2L	16329000	16332000	-61.9571418762207
chr2L	16410000	16413000	chr2L	16329000	16332000	-53.0222206115723
chr2L	16413000	16416000	chr2L	16329000	16332000	-50.7874984741211
chr2L	16416000	16419000	chr2L	16329000	16332000	-50.4599990844727
chr2L	16419000	16422000	chr2L	16329000	16332000	-51.9153861999512
chr2L	16422000	16425000	chr2L	16329000	16332000	-51.4000015258789
chr2L	16425000	16428000	chr2L	16329000	16332000	-49.8727264404297
chr2L	16428000	16431000	chr2L	16329000	16332000	-47.2555541992188
chr2L	16431000	16434000	chr2L	16329000	16332000	-48.9500007629395
chr2L	16434000	16437000	chr2L	16329000	16332000	-50.0285720825195
chr2L	16437000	16440000	chr2L	16329000	16332000	-48.1545448303223
chr2L	16440000	16443000	chr2L	16329000	16332000	-43.25
chr2L	16443000	16446000	chr2L	16329000	16332000	-40.5222244262695
chr2L	16446000	16449000	chr2L	16329000	16332000	-37.4124984741211
chr2L	16449000	16452000	chr2L	16329000	16332000	-35.8473701477051
chr2L	16452000	16455000	chr2L	16329000	16332000	-36.9833335876465
chr2L	16455000	16458000	chr2L	16329000	16332000	-35.2125015258789
chr2L	16458000	16461000	chr2L	16329000	16332000	-34.4000015258789
chr2L	16461000	16464000	chr2L	16329000	16332000	-29.033332824707
chr2L	16464000	16467000	chr2L	16329000	16332000	-27.6434783935547
chr2L	16467000	16470000	chr2L	16329000	16332000	-28.7266674041748
chr2L	16470000	16473000	chr2L	16329000	16332000	-27.7681827545166
chr2L	16473000	16476000	chr2L	16329000	16332000	-33.4176483154297
chr2L	16476000	16479000	chr2L	16329000	16332000	-30.1399993896484
chr2L	16479000	16482000	chr2L	16329000	16332000	-24.2133331298828
chr2L	16482000	16485000	chr2L	16329000	16332000	-6.22380971908569
chr2L	16485000	16488000	chr2L	16329000	16332000	11.4166669845581
chr2L	16488000	16491000	chr2L	16329000	16332000	16.1434783935547
chr2L	16491000	16494000	chr2L	16329000	16332000	27.763635635376
chr2L	16494000	16497000	chr2L	16329000	16332000	31.9882354736328
chr2L	16497000	16500000	chr2L	16329000	16332000	31.1166667938232
chr2L	16500000	16503000	chr2L	16329000	16332000	20.466667175293
chr2L	16503000	16506000	chr2L	16329000	16332000	7.69999980926514
chr2L	16506000	16509000	chr2L	16329000	16332000	-4.70526313781738
chr2L	16509000	16512000	chr2L	16329000	16332000	-8.30000019073486
chr2L	16321000	16323000	chr2L	16332000	16335000	-53.9862060546875
chr2L	16323000	16326000	chr2L	16332000	16335000	-59.0696983337402
chr2L	16326000	16329000	chr2L	16332000	16335000	10.7145347595215
chr2L	16329000	16332000	chr2L	16332000	16335000	30.1834621429443
chr2L	16332000	16335000	chr2L	16332000	16335000	15.1688890457153
chr2L	16335000	16338000	chr2L	16332000	16335000	26.1157894134521
chr2L	16338000	16341000	chr2L	16332000	16335000	43.1667900085449
chr2L	16341000	16344000	chr2L	16332000	16335000	46.8169860839844
chr2L	16344000	16347000	chr2L	16332000	16335000	52.336742401123
chr2L	16347000	16350000	chr2L	16332000	16335000	59.582405090332
chr2L	16350000	16353000	chr2L	16332000	16335000	-7.35652160644531
chr2L	16353000	16356000	chr2L	16332000	16335000	-22.2293338775635
chr2L	16356000	16359000	chr2L	16332000	16335000	-30.8227272033691
chr2L	16359000	16362000	chr2L	16332000	16335000	-47.9500007629395
chr2L	16362000	16365000	chr2L	16332000	16335000	-55.2458343505859
chr2L	16365000	16368000	chr2L	16332000	16335000	-62.4749984741211
chr2L	16368000	16371000	chr2L	16332000	16335000	-65
chr2L	16371000	16374000	chr2L	16332000	16335000	-64.6432418823242
chr2L	16374000	16377000	chr2L	16332000	16335000	-61.3333320617676
chr2L	16377000	16380000	chr2L	16332000	16335000	-64.2624969482422
chr2L	16380000	16383000	chr2L	16332000	16335000	-66.2947387695312
chr2L	16383000	16386000	chr2L	16332000	16335000	-69.1411743164062
chr2L	16386000	16389000	chr2L	16332000	16335000	-64.3199996948242
chr2L	16389000	16392000	chr2L	16332000	16335000	-60.7043495178223
chr2L	16392000	16395000	chr2L	16332000	16335000	-58.2000007629395
chr2L	16395000	16398000	chr2L	16332000	16335000	-61.3538475036621
chr2L	16398000	16401000	chr2L	16332000	16335000	-60.982608795166
chr2L	16401000	16404000	chr2L	16332000	16335000	-60.4071426391602
chr2L	16404000	16407000	chr2L	16332000	16335000	-59.1294136047363
chr2L	16407000	16410000	chr2L	16332000	16335000	-59.7750015258789
chr2L	16410000	16413000	chr2L	16332000	16335000	-51.2095260620117
chr2L	16413000	16416000	chr2L	16332000	16335000	-48.283332824707
chr2L	16416000	16419000	chr2L	16332000	16335000	-50.4692306518555
chr2L	16419000	16422000	chr2L	16332000	16335000	-52.6363639831543
chr2L	16422000	16425000	chr2L	16332000	16335000	-53.771427154541
chr2L	16425000	16428000	chr2L	16332000	16335000	-48.6095237731934
chr2L	16428000	16431000	chr2L	16332000	16335000	-46.1909103393555
chr2L	16431000	16434000	chr2L	16332000	16335000	-48.8454551696777
chr2L	16434000	16437000	chr2L	16332000	16335000	-45.4777755737305
chr2L	16437000	16440000	chr2L	16332000	16335000	-46.3636360168457
chr2L	16440000	16443000	chr2L	16332000	16335000	-41.5117645263672
chr2L	16443000	16446000	chr2L	16332000	16335000	-40.8400001525879
chr2L	16446000	16449000	chr2L	16332000	16335000	-36.972728729248
chr2L	16449000	16452000	chr2L	16332000	16335000	-34.4285697937012
chr2L	16452000	16455000	chr2L	16332000	16335000	-35.6599998474121
chr2L	16455000	16458000	chr2L	16332000	16335000	-34.2374992370605
chr2L	16458000	16461000	chr2L	16332000	16335000	-31.2899990081787
chr2L	16461000	16464000	chr2L	16332000	16335000	-27.3916664123535
chr2L	16464000	16467000	chr2L	16332000	16335000	-22.2478256225586
chr2L	16467000	16470000	chr2L	16332000	16335000	-17.9857139587402
chr2L	16470000	16473000	chr2L	16332000	16335000	-19.513334274292
chr2L	16473000	16476000	chr2L	16332000	16335000	-24.09375
chr2L	16476000	16479000	chr2L	16332000	16335000	-22.9200000762939
chr2L	16479000	16482000	chr2L	16332000	16335000	-20.0611114501953
chr2L	16482000	16485000	chr2L	16332000	16335000	-13.2058820724487
chr2L	16485000	16488000	chr2L	16332000	16335000	-2.33124995231628
chr2L	16488000	16491000	chr2L	16332000	16335000	14.1800003051758
chr2L	16491000	16494000	chr2L	16332000	16335000	22.0571422576904
chr2L	16494000	16497000	chr2L	16332000	16335000	24.6260871887207
