sample	chrom1	start1	end1	domain1	chrom2	start2	end2	domain2	refContacts	refRatio	obsContacts	obsRatio	Log2FC_Contacts_LE_WT	Log2FC_ContactsVsTotal_LE_WT
LE_WT	chr2L	 4793450	 4811949	domain2	chr2L	 4793450	 4811949	domain2	 10884	0.00003353872	 10884	0.00003353872	 0.00000000	 0.00000000
larvae_DWT	chr2L	 4793450	 4811949	domain2	chr2L	 4793450	 4811949	domain2	 10884	0.00003353872	  9872	0.00004006260	-0.14079456	 0.25642842
pupae_DWT	chr2L	 4793450	 4811949	domain2	chr2L	 4793450	 4811949	domain2	 10884	0.00003353872	 10330	0.00003740980	-0.07536861	 0.15758862
LE_WT	chr2L	 6526650	 6557449	domain10	chr2L	 6526650	 6557449	domain10	 32840	0.00010119549	 32840	0.00010119549	 0.00000000	 0.00000000
larvae_DWT	chr2L	 6526650	 6557449	domain10	chr2L	 6526650	 6557449	domain10	 32840	0.00010119549	 26960	0.00010940920	-0.28463363	 0.11258906
pupae_DWT	chr2L	 6526650	 6557449	domain10	chr2L	 6526650	 6557449	domain10	 32840	0.00010119549	 33814	0.00012245640	 0.04216656	 0.27512318
LE_WT	chr2L	 6683050	 6718349	domain13	chr2L	 6683050	 6718349	domain13	 39744	0.00012246996	 39744	0.00012246996	 0.00000000	 0.00000000
larvae_DWT	chr2L	 6683050	 6718349	domain13	chr2L	 6683050	 6718349	domain13	 39744	0.00012246996	 35954	0.00014590870	-0.14458479	 0.25263799
pupae_DWT	chr2L	 6683050	 6718349	domain13	chr2L	 6683050	 6718349	domain13	 39744	0.00012246996	 43682	0.00015819310	 0.13630183	 0.36925875
LE_WT	chr2L	 5906950	 5944649	domain15	chr2L	 5906950	 5944649	domain15	 32716	0.00010081338	 32716	0.00010081338	 0.00000000	 0.00000000
larvae_DWT	chr2L	 5906950	 5944649	domain15	chr2L	 5906950	 5944649	domain15	 32716	0.00010081338	 25446	0.00010326510	-0.36255748	 0.03466563
pupae_DWT	chr2L	 5906950	 5944649	domain15	chr2L	 5906950	 5944649	domain15	 32716	0.00010081338	 33740	0.00012218850	 0.04446360	 0.27742138
LE_WT	chr2L	 9567650	 9614649	domain26	chr2L	 9567650	 9614649	domain26	 55628	0.00017141603	 55628	0.00017141603	 0.00000000	 0.00000000
larvae_DWT	chr2L	 9567650	 9614649	domain26	chr2L	 9567650	 9614649	domain26	 55628	0.00017141603	 57806	0.00023458860	 0.05540801	 0.45263088
pupae_DWT	chr2L	 9567650	 9614649	domain26	chr2L	 9567650	 9614649	domain26	 55628	0.00017141603	 67532	0.00024456520	 0.27976005	 0.51271710
LE_WT	chr2L	  488650	  542149	domain34	chr2L	  488650	  542149	domain34	 54882	0.00016911726	 54882	0.00016911726	 0.00000000	 0.00000000
larvae_DWT	chr2L	  488650	  542149	domain34	chr2L	  488650	  542149	domain34	 54882	0.00016911726	 53130	0.00021561240	-0.04680634	 0.35041624
pupae_DWT	chr2L	  488650	  542149	domain34	chr2L	  488650	  542149	domain34	 54882	0.00016911726	 61598	0.00022307540	 0.16655045	 0.39950752
LE_WT	chr2L	 6796850	 6852049	domain37	chr2L	 6796850	 6852049	domain37	 48778	0.00015030796	 48778	0.00015030796	 0.00000000	 0.00000000
larvae_DWT	chr2L	 6796850	 6852049	domain37	chr2L	 6796850	 6852049	domain37	 48778	0.00015030796	 36224	0.00014700440	-0.42928474	-0.03206208
pupae_DWT	chr2L	 6796850	 6852049	domain37	chr2L	 6796850	 6852049	domain37	 48778	0.00015030796	 44760	0.00016209710	-0.12402057	 0.10893687
LE_WT	chr2L	19053850	19133849	domain48	chr2L	19053850	19133849	domain48	103772	0.00031977034	103772	0.00031977034	 0.00000000	 0.00000000
larvae_DWT	chr2L	19053850	19133849	domain48	chr2L	19053850	19133849	domain48	103772	0.00031977034	 98032	0.00039783390	-0.08209256	 0.31513009
pupae_DWT	chr2L	19053850	19133849	domain48	chr2L	19053850	19133849	domain48	103772	0.00031977034	124202	0.00044979400	 0.25927118	 0.49222829
LE_WT	chr2L	18858950	18943949	domain55	chr2L	18858950	18943949	domain55	 93138	0.00028700199	 93138	0.00028700199	 0.00000000	 0.00000000
larvae_DWT	chr2L	18858950	18943949	domain55	chr2L	18858950	18943949	domain55	 93138	0.00028700199	 67088	0.00027225690	-0.47331517	-0.07609213
pupae_DWT	chr2L	18858950	18943949	domain55	chr2L	18858950	18943949	domain55	 93138	0.00028700199	 81880	0.00029652610	-0.18585880	 0.04709836
LE_WT	chr2L	 1884550	 1973149	domain62	chr2L	 1884550	 1973149	domain62	 82614	0.00025457259	 82614	0.00025457259	 0.00000000	 0.00000000
larvae_DWT	chr2L	 1884550	 1973149	domain62	chr2L	 1884550	 1973149	domain62	 82614	0.00025457259	 69442	0.00028180990	-0.25057779	 0.14664520
pupae_DWT	chr2L	 1884550	 1973149	domain62	chr2L	 1884550	 1973149	domain62	 82614	0.00025457259	 92052	0.00033336370	 0.15606278	 0.38901993
LE_WT	chr2L	11998850	12094749	domain64	chr2L	11998850	12094749	domain64	106694	0.00032877440	106694	0.00032877440	 0.00000000	 0.00000000
larvae_DWT	chr2L	11998850	12094749	domain64	chr2L	11998850	12094749	domain64	106694	0.00032877440	113834	0.00046196170	 0.09345248	 0.49067528
pupae_DWT	chr2L	11998850	12094749	domain64	chr2L	11998850	12094749	domain64	106694	0.00032877440	136628	0.00049479440	 0.35677413	 0.58973120
LE_WT	chr2L	 3530350	 3632749	domain69	chr2L	 3530350	 3632749	domain69	206654	0.00063679818	206654	0.00063679818	 0.00000000	 0.00000000
larvae_DWT	chr2L	 3530350	 3632749	domain69	chr2L	 3530350	 3632749	domain69	206654	0.00063679818	181338	0.00073590680	-0.18853601	 0.20868685
pupae_DWT	chr2L	 3530350	 3632749	domain69	chr2L	 3530350	 3632749	domain69	206654	0.00063679818	213676	0.00077382160	 0.04820759	 0.28116479
LE_WT	chr2L	16357350	16487149	dac	chr2L	16357350	16487149	dac	175560	0.00054098294	175560	0.00054098294	 0.00000000	 0.00000000
larvae_DWT	chr2L	16357350	16487149	dac	chr2L	16357350	16487149	dac	175560	0.00054098294	123378	0.00050069320	-0.50887901	-0.11165624
pupae_DWT	chr2L	16357350	16487149	dac	chr2L	16357350	16487149	dac	175560	0.00054098294	141682	0.00051309740	-0.30930769	-0.07635038
LE_WT	chr2L	18707150	18839549	domain87	chr2L	18707150	18839549	domain87	228824	0.00070511437	228824	0.00070511437	 0.00000000	 0.00000000
larvae_DWT	chr2L	18707150	18839549	domain87	chr2L	18707150	18839549	domain87	228824	0.00070511437	192106	0.00077960550	-0.25233580	 0.14488699
pupae_DWT	chr2L	18707150	18839549	domain87	chr2L	18707150	18839549	domain87	228824	0.00070511437	239448	0.00086715420	 0.06547401	 0.29843128
LE_WT	chr2L	 3657550	 3812649	domain95	chr2L	 3657550	 3812649	domain95	211026	0.00065027036	211026	0.00065027036	 0.00000000	 0.00000000
larvae_DWT	chr2L	 3657550	 3812649	domain95	chr2L	 3657550	 3812649	domain95	211026	0.00065027036	177982	0.00072228740	-0.24568942	 0.15153334
pupae_DWT	chr2L	 3657550	 3812649	domain95	chr2L	 3657550	 3812649	domain95	211026	0.00065027036	216354	0.00078351990	 0.03597303	 0.26893025
LE_WT	chr2L	20759250	20923049	domain98	chr2L	20759250	20923049	domain98	193000	0.00059472378	193000	0.00059472378	 0.00000000	 0.00000000
larvae_DWT	chr2L	20759250	20923049	domain98	chr2L	20759250	20923049	domain98	193000	0.00059472378	163866	0.00066500180	-0.23608430	 0.16113848
pupae_DWT	chr2L	20759250	20923049	domain98	chr2L	20759250	20923049	domain98	193000	0.00059472378	204364	0.00074009840	 0.08254023	 0.31549733
LE_WT	chr2L	12548250	12720549	domain102	chr2L	12548250	12720549	domain102	269530	0.00083054871	269530	0.00083054871	 0.00000000	 0.00000000
larvae_DWT	chr2L	12548250	12720549	domain102	chr2L	12548250	12720549	domain102	269530	0.00083054871	208066	0.00084437450	-0.37340463	 0.02381823
pupae_DWT	chr2L	12548250	12720549	domain102	chr2L	12548250	12720549	domain102	269530	0.00083054871	255994	0.00092707500	-0.07433586	 0.15862128
LE_WT	chr2L	 7258450	 7435549	domain105	chr2L	 7258450	 7435549	domain105	308834	0.00095166282	308834	0.00095166282	 0.00000000	 0.00000000
larvae_DWT	chr2L	 7258450	 7435549	domain105	chr2L	 7258450	 7435549	domain105	308834	0.00095166282	267390	0.00108512340	-0.20788608	 0.18933670
pupae_DWT	chr2L	 7258450	 7435549	domain105	chr2L	 7258450	 7435549	domain105	308834	0.00095166282	320972	0.00116239100	 0.05561586	 0.28857302
LE_WT	chr2L	 5325150	 5516149	domain109	chr2L	 5325150	 5516149	domain109	333864	0.00102879202	333864	0.00102879202	 0.00000000	 0.00000000
larvae_DWT	chr2L	 5325150	 5516149	domain109	chr2L	 5325150	 5516149	domain109	333864	0.00102879202	266692	0.00108229080	-0.32408599	 0.07313683
pupae_DWT	chr2L	 5325150	 5516149	domain109	chr2L	 5325150	 5516149	domain109	333864	0.00102879202	312074	0.00113016720	-0.09737237	 0.13558487
LE_WT	chr2L	 2375950	 2567449	domain110	chr2L	 2375950	 2567449	domain110	294790	0.00090838665	294790	0.00090838665	 0.00000000	 0.00000000
larvae_DWT	chr2L	 2375950	 2567449	domain110	chr2L	 2375950	 2567449	domain110	294790	0.00090838665	224008	0.00090907040	-0.39613733	 0.00108552
pupae_DWT	chr2L	 2375950	 2567449	domain110	chr2L	 2375950	 2567449	domain110	294790	0.00090838665	284646	0.00103083740	-0.05051876	 0.18243838
LE_WT	chr2L	19189450	19396849	domain115	chr2L	19189450	19396849	domain115	312362	0.00096253424	312362	0.00096253424	 0.00000000	 0.00000000
larvae_DWT	chr2L	19189450	19396849	domain115	chr2L	19189450	19396849	domain115	312362	0.00096253424	220614	0.00089529680	-0.50169461	-0.10447183
pupae_DWT	chr2L	19189450	19396849	domain115	chr2L	19189450	19396849	domain115	312362	0.00096253424	277974	0.00100667500	-0.16826901	 0.06468822
LE_WT	chr2L	15272550	15499549	domain121	chr2L	15272550	15499549	domain121	544600	0.00167816876	544600	0.00167816876	 0.00000000	 0.00000000
larvae_DWT	chr2L	15272550	15499549	domain121	chr2L	15272550	15499549	domain121	544600	0.00167816876	422622	0.00171508670	-0.36582911	 0.03139371
pupae_DWT	chr2L	15272550	15499549	domain121	chr2L	15272550	15499549	domain121	544600	0.00167816876	501566	0.00181640710	-0.11875743	 0.11419978
LE_WT	chr2L	11269150	11517149	domain124	chr2L	11269150	11517149	domain124	543216	0.00167390400	543216	0.00167390400	 0.00000000	 0.00000000
