chrom	start	end	w100	w150	w200	w250	w300	min	mean	stddev	max
chr2L	16320998	16323000	0.517804429	0.613297613	0.547396382	0.457149495	0.480289097	0.457149495	0.512181085166667	0.0556332365733586	0.613297613
chr2L	16323000	16326000	0.545448472	0.643557917	0.564874576	0.472145522	0.498358991	0.472145522	0.532755166666667	0.0605532560249926	0.643557917
chr2L	16326000	16329000	0.517568065	0.624480613	0.52346509	0.417992412	0.442504997	0.417992412	0.490667264833333	0.0736978460159983	0.624480613
chr2L	16329000	16332000	0.483888265	0.592736244	0.481250624	0.366281507	0.387282387	0.366281507	0.446286755666667	0.0820233639237959	0.592736244
chr2L	16332000	16335000	0.497550564	0.614332994	0.473499074	0.350587808	0.379678233	0.350587808	0.444372746833333	0.0951659238854793	0.614332994
chr2L	16335000	16338000	0.470914234	0.58351431	0.433249158	0.306540623	0.334709837	0.306540623	0.405911464166667	0.101105786429983	0.58351431
chr2L	16338000	16341000	0.463520835	0.573963286	0.4099689	0.281963879	0.313788735	0.281963879	0.387528252333333	0.107052687431168	0.573963286
chr2L	16341000	16344000	0.48783539	0.58717636	0.419009563	0.288935261	0.324156694	0.288935261	0.3993414215	0.110703633013401	0.58717636
chr2L	16344000	16347000	0.568449609	0.642464801	0.465387512	0.333197224	0.365456114	0.333197224	0.451358747333333	0.119535317987663	0.642464801
chr2L	16347000	16350000	0.677899136	0.731803988	0.546896282	0.421522018	0.453765355	0.421522018	0.5422347995	0.123378153583947	0.731803988
chr2L	16350000	16353000	0.84633377	0.877495865	0.680912239	0.571285293	0.604382522	0.571285293	0.691949163666667	0.125944071486632	0.877495865
chr2L	16353000	16356000	0.817785705	0.84315012	0.645773886	0.536560308	0.565842116	0.536560308	0.657612073833333	0.127768597192415	0.84315012
chr2L	16356000	16359000	0.859412137	0.866658175	0.67158929	0.575453187	0.596762403	0.575453187	0.690888063166667	0.12594840179882	0.866658175
chr2L	16359000	16362000	0.864969154	0.866366751	0.673006742	0.580738707	0.603904793	0.580738707	0.694954142333333	0.12459895019228	0.866366751
chr2L	16362000	16365000	0.861958468	0.865208201	0.674181374	0.590162963	0.612999206	0.590162963	0.699112195833333	0.119640889649101	0.865208201
chr2L	16365000	16368000	0.848219957	0.849367633	0.658013683	0.575623516	0.605978544	0.575623516	0.6854711415	0.11871199294456	0.849367633
chr2L	16368000	16371000	0.860104268	0.852878473	0.656670644	0.581642978	0.624299874	0.581642978	0.6928732025	0.118550388839654	0.860104268
chr2L	16371000	16374000	0.827899971	0.812827956	0.616074574	0.54172066	0.587008668	0.54172066	0.6545420815	0.120142438580843	0.827899971
chr2L	16374000	16377000	0.856265987	0.828313042	0.628947931	0.568617641	0.615318407	0.568617641	0.677680108166667	0.11876885620585	0.856265987
chr2L	16377000	16380000	0.853610597	0.818601734	0.615816691	0.557851737	0.61322949	0.557851737	0.669493664333333	0.120489955315331	0.853610597
chr2L	16380000	16383000	0.816538194	0.76791945	0.562215008	0.500548081	0.570867651	0.500548081	0.619772744166667	0.125696546254637	0.816538194
chr2L	16383000	16386000	0.812038909	0.75499835	0.550049021	0.49048127	0.560797425	0.49048127	0.6098077075	0.12677308291163	0.812038909
chr2L	16386000	16389000	0.792116942	0.726961119	0.527189932	0.475087691	0.539603335	0.475087691	0.589341118333333	0.12416494917083	0.792116942
chr2L	16389000	16392000	0.754509339	0.687657309	0.494610525	0.444638701	0.501226962	0.444638701	0.554546922833333	0.121311147637171	0.754509339
chr2L	16392000	16395000	0.715464232	0.671144265	0.48603381	0.444532023	0.489423022	0.444532023	0.541854895833333	0.109289005816458	0.715464232
chr2L	16395000	16398000	0.704030751	0.666162282	0.491001369	0.451315297	0.490216444	0.451315297	0.54234024	0.102793782005367	0.704030751
chr2L	16398000	16401000	0.631918973	0.598000304	0.440459335	0.394016263	0.424769953	0.394016263	0.480530181833333	0.0969553057530836	0.631918973
chr2L	16401000	16404000	0.55725378	0.525937912	0.376309157	0.323268383	0.353738382	0.323268383	0.409962666166667	0.0952806872152094	0.55725378
chr2L	16404000	16407000	0.436945688	0.413956695	0.280021227	0.222768118	0.248466765	0.222768118	0.304154435166667	0.0881485929954517	0.436945688
chr2L	16407000	16410000	0.41232328	0.394350428	0.26748137	0.212574005	0.233785675	0.212574005	0.288848127166667	0.0831672453787739	0.41232328
chr2L	16410000	16413000	0.375961256	0.355642664	0.245551081	0.204067533	0.20934207	0.204067533	0.265772022833333	0.072372316813992	0.375961256
chr2L	16413000	16416000	0.337651217	0.320957107	0.21839565	0.180327142	0.181900385	0.180327142	0.236593107166667	0.067062390116183	0.337651217
chr2L	16416000	16419000	0.253791129	0.242594723	0.147542325	0.124914168	0.113324509	0.113324509	0.165915227166667	0.0593747096353065	0.253791129
chr2L	16419000	16422000	0.251550825	0.243786264	0.151472629	0.135597575	0.118380774	0.118380774	0.1698614735	0.0562001097025049	0.251550825
chr2L	16422000	16425000	0.216122664	0.20451902	0.120554398	0.105694419	0.088442686	0.088442686	0.137295978833333	0.0528911005621894	0.216122664
chr2L	16425000	16428000	0.205531162	0.188656458	0.110929581	0.09546688	0.080965447	0.080965447	0.127085829166667	0.0507601782599485	0.205531162
chr2L	16428000	16431000	0.192073239	0.170522709	0.094201236	0.091768723	0.065362424	0.065362424	0.113215125833333	0.0498397422532039	0.192073239
chr2L	16431000	16434000	0.194232715	0.183470477	0.107810283	0.113431746	0.081333821	0.081333821	0.126935477166667	0.0455197215936333	0.194232715
chr2L	16434000	16437000	0.139639766	0.1334351	0.071146626	0.073202196	0.041143115	0.041143115	0.0832849863333333	0.0397738862896591	0.139639766
chr2L	16437000	16440000	0.135693393	0.137730311	0.080110768	0.082223922	0.054430529	0.054430529	0.0907699086666667	0.0342810711348861	0.137730311
chr2L	16440000	16443000	0.066495588	0.070053307	0.034610705	0.030493815	0.017401137	0.017401137	0.0394092815	0.0213851701990785	0.070053307
chr2L	16443000	16446000	0.03287826	0.030945247	0.011750109	0.006250973	0	0	0.0136374315	0.0135391456523548	0.03287826
chr2L	16446000	16449000	0.003597275	0.001609665	0	0	0.002300986	0	0.001251321	0.00138028499109182	0.003597275
chr2L	16449000	16452000	0	0	0.004128706	0.006711109	0.011161524	0	0.00366688983333333	0.00420294200428051	0.011161524
chr2L	16452000	16455000	0.032785947	0.024760725	0.042211924	0.054801375	0.060443051	0.024760725	0.0399606245	0.0138948186207369	0.060443051
chr2L	16455000	16458000	0.050121653	0.041669116	0.066780692	0.080716923	0.091061615	0.041669116	0.0620031858333333	0.019085511275979	0.091061615
chr2L	16458000	16461000	0.089869411	0.086577898	0.130388292	0.133974653	0.152324684	0.086577898	0.113285472666667	0.0265188915890502	0.152324684
chr2L	16461000	16464000	0.102160972	0.095158698	0.146305933	0.151104233	0.171974635	0.095158698	0.126977194833333	0.0306081745849684	0.171974635
chr2L	16464000	16467000	0.173073541	0.16016257	0.238449058	0.236093929	0.258984388	0.16016257	0.204487676	0.0409033418285955	0.258984388
chr2L	16467000	16470000	0.193604559	0.177543289	0.273356039	0.261669886	0.283081571	0.177543289	0.227799772166667	0.0456424074467277	0.283081571
