chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16321000	16323000	chr2L	16321000	16323000	0
chr2L	16323000	16326000	chr2L	16321000	16323000	30.2571430206299
chr2L	16326000	16329000	chr2L	16321000	16323000	-13.9294118881226
chr2L	16329000	16332000	chr2L	16321000	16323000	-12.2200002670288
chr2L	16332000	16335000	chr2L	16321000	16323000	-9.33333301544189
chr2L	16335000	16338000	chr2L	16321000	16323000	-14.4875001907349
chr2L	16338000	16341000	chr2L	16321000	16323000	-12.5
chr2L	16341000	16344000	chr2L	16321000	16323000	-9.00833320617676
chr2L	16344000	16347000	chr2L	16321000	16323000	-10.1999998092651
chr2L	16347000	16350000	chr2L	16321000	16323000	-11.8571424484253
chr2L	16350000	16353000	chr2L	16321000	16323000	-11.6000003814697
chr2L	16353000	16356000	chr2L	16321000	16323000	-11.8666667938232
chr2L	16356000	16359000	chr2L	16321000	16323000	-16.7999992370605
chr2L	16359000	16362000	chr2L	16321000	16323000	-21.7666664123535
chr2L	16362000	16365000	chr2L	16321000	16323000	-33.2999992370605
chr2L	16365000	16368000	chr2L	16321000	16323000	-44.9000015258789
chr2L	16368000	16371000	chr2L	16321000	16323000	0
chr2L	16371000	16374000	chr2L	16321000	16323000	-50.0999984741211
chr2L	16374000	16377000	chr2L	16321000	16323000	0
chr2L	16377000	16380000	chr2L	16321000	16323000	0
chr2L	16380000	16383000	chr2L	16321000	16323000	0
chr2L	16383000	16386000	chr2L	16321000	16323000	0
chr2L	16386000	16389000	chr2L	16321000	16323000	-53.2000007629395
chr2L	16389000	16392000	chr2L	16321000	16323000	-56.2000007629395
chr2L	16392000	16395000	chr2L	16321000	16323000	-49.3666648864746
chr2L	16395000	16398000	chr2L	16321000	16323000	-51.4000015258789
chr2L	16398000	16401000	chr2L	16321000	16323000	-49.2999992370605
chr2L	16401000	16404000	chr2L	16321000	16323000	0
chr2L	16404000	16407000	chr2L	16321000	16323000	-46.8000030517578
chr2L	16407000	16410000	chr2L	16321000	16323000	-48.7000007629395
chr2L	16410000	16413000	chr2L	16321000	16323000	0
chr2L	16413000	16416000	chr2L	16321000	16323000	0
chr2L	16416000	16419000	chr2L	16321000	16323000	0
chr2L	16419000	16422000	chr2L	16321000	16323000	-48.9000015258789
chr2L	16422000	16425000	chr2L	16321000	16323000	0
chr2L	16425000	16428000	chr2L	16321000	16323000	0
chr2L	16428000	16431000	chr2L	16321000	16323000	0
chr2L	16431000	16434000	chr2L	16321000	16323000	-45.0999984741211
chr2L	16434000	16437000	chr2L	16321000	16323000	0
chr2L	16437000	16440000	chr2L	16321000	16323000	0
chr2L	16440000	16443000	chr2L	16321000	16323000	0
chr2L	16443000	16446000	chr2L	16321000	16323000	-33.0999984741211
chr2L	16446000	16449000	chr2L	16321000	16323000	-30.0999984741211
chr2L	16449000	16452000	chr2L	16321000	16323000	0
chr2L	16452000	16455000	chr2L	16321000	16323000	-22.6499996185303
chr2L	16455000	16458000	chr2L	16321000	16323000	0
chr2L	16458000	16461000	chr2L	16321000	16323000	0
chr2L	16461000	16464000	chr2L	16321000	16323000	-18.2999992370605
chr2L	16464000	16467000	chr2L	16321000	16323000	-17.3999996185303
chr2L	16467000	16470000	chr2L	16321000	16323000	-16.6000003814697
chr2L	16470000	16473000	chr2L	16321000	16323000	0
chr2L	16473000	16476000	chr2L	16321000	16323000	-7.40000009536743
chr2L	16476000	16479000	chr2L	16321000	16323000	-7.59999990463257
chr2L	16479000	16482000	chr2L	16321000	16323000	0
chr2L	16482000	16485000	chr2L	16321000	16323000	5
chr2L	16485000	16488000	chr2L	16321000	16323000	0
chr2L	16488000	16491000	chr2L	16321000	16323000	15
chr2L	16491000	16494000	chr2L	16321000	16323000	0
chr2L	16494000	16497000	chr2L	16321000	16323000	20.8999996185303
chr2L	16497000	16500000	chr2L	16321000	16323000	21.7999992370605
chr2L	16500000	16503000	chr2L	16321000	16323000	0
chr2L	16503000	16506000	chr2L	16321000	16323000	0
chr2L	16506000	16509000	chr2L	16321000	16323000	12.8999996185303
chr2L	16509000	16512000	chr2L	16321000	16323000	7.09999990463257
chr2L	16321000	16323000	chr2L	16323000	16326000	30.2571430206299
chr2L	16323000	16326000	chr2L	16323000	16326000	22.0153846740723
chr2L	16326000	16329000	chr2L	16323000	16326000	-10.1449279785156
chr2L	16329000	16332000	chr2L	16323000	16326000	-3.979660987854
chr2L	16332000	16335000	chr2L	16323000	16326000	-8.44594573974609
chr2L	16335000	16338000	chr2L	16323000	16326000	-13.6904764175415
chr2L	16338000	16341000	chr2L	16323000	16326000	-9.2153844833374
chr2L	16341000	16344000	chr2L	16323000	16326000	1.17352950572968
chr2L	16344000	16347000	chr2L	16323000	16326000	4.55454540252686
chr2L	16347000	16350000	chr2L	16323000	16326000	7.72631597518921
chr2L	16350000	16353000	chr2L	16323000	16326000	-5.375
chr2L	16353000	16356000	chr2L	16323000	16326000	-8.49473667144775
chr2L	16356000	16359000	chr2L	16323000	16326000	-17.6000003814697
chr2L	16359000	16362000	chr2L	16323000	16326000	-21.8999996185303
chr2L	16362000	16365000	chr2L	16323000	16326000	-34.0999984741211
chr2L	16365000	16368000	chr2L	16323000	16326000	-43.1399993896484
chr2L	16368000	16371000	chr2L	16323000	16326000	-48.0999984741211
chr2L	16371000	16374000	chr2L	16323000	16326000	-47.3199996948242
chr2L	16374000	16377000	chr2L	16323000	16326000	-50.125
chr2L	16377000	16380000	chr2L	16323000	16326000	-55.2000007629395
chr2L	16380000	16383000	chr2L	16323000	16326000	-53.6666679382324
chr2L	16383000	16386000	chr2L	16323000	16326000	-52.5
