chrom1	start1	end1	chrom2	start2	end2	score
chr2L	16486243	16486244	chr2L	16424661	16424662	68.3000030517578
chr2L	16486242	16486243	chr2L	16424661	16424662	68.3000030517578
chr2L	16486242	16486243	chr2L	16424660	16424661	68.3000030517578
chr2L	16486243	16486244	chr2L	16424660	16424661	68.3000030517578
chr2L	16486243	16486244	chr2L	16425016	16425017	65.5
chr2L	16486243	16486244	chr2L	16425017	16425018	65.5
chr2L	16486242	16486243	chr2L	16425016	16425017	65.5
chr2L	16484503	16484504	chr2L	16425017	16425018	67.0999984741211
chr2L	16485360	16485361	chr2L	16425016	16425017	66.5
chr2L	16485361	16485362	chr2L	16424661	16424662	65.3000030517578
chr2L	16485361	16485362	chr2L	16424660	16424661	65.3000030517578
chr2L	16484465	16484466	chr2L	16425017	16425018	65.9000015258789
chr2L	16484465	16484466	chr2L	16424660	16424661	66.3000030517578
chr2L	16484503	16484504	chr2L	16424661	16424662	66.3000030517578
chr2L	16485360	16485361	chr2L	16424660	16424661	65.3000030517578
chr2L	16485360	16485361	chr2L	16424661	16424662	65.3000030517578
chr2L	16484503	16484504	chr2L	16425016	16425017	67.0999984741211
chr2L	16484503	16484504	chr2L	16424660	16424661	66.3000030517578
chr2L	16484465	16484466	chr2L	16424661	16424662	66.3000030517578
chr2L	16483015	16483016	chr2L	16425016	16425017	61.2999992370605
chr2L	16483716	16483717	chr2L	16424661	16424662	64.9000015258789
chr2L	16483716	16483717	chr2L	16425016	16425017	62.9000015258789
chr2L	16483715	16483716	chr2L	16425016	16425017	62.9000015258789
chr2L	16484123	16484124	chr2L	16425017	16425018	64.3000030517578
chr2L	16483716	16483717	chr2L	16425017	16425018	62.9000015258789
chr2L	16484109	16484110	chr2L	16425016	16425017	64.3000030517578
chr2L	16484109	16484110	chr2L	16424661	16424662	68.0999984741211
chr2L	16483715	16483716	chr2L	16425017	16425018	62.9000015258789
chr2L	16483715	16483716	chr2L	16424660	16424661	64.9000015258789
chr2L	16484109	16484110	chr2L	16424660	16424661	68.0999984741211
chr2L	16484109	16484110	chr2L	16422191	16422192	72.0999984741211
chr2L	16483716	16483717	chr2L	16422531	16422532	67.6999969482422
chr2L	16483014	16483015	chr2L	16422531	16422532	66.3000030517578
chr2L	16484123	16484124	chr2L	16422191	16422192	72.0999984741211
chr2L	16483014	16483015	chr2L	16422191	16422192	65.5
chr2L	16483015	16483016	chr2L	16422531	16422532	66.3000030517578
chr2L	16483015	16483016	chr2L	16422442	16422443	65.0999984741211
chr2L	16483716	16483717	chr2L	16422441	16422442	68.3000030517578
chr2L	16483015	16483016	chr2L	16422441	16422442	65.0999984741211
chr2L	16483015	16483016	chr2L	16422191	16422192	65.5
chr2L	16486243	16486244	chr2L	16422531	16422532	69.5
chr2L	16485360	16485361	chr2L	16422531	16422532	71.9000015258789
chr2L	16484465	16484466	chr2L	16422531	16422532	69.5
chr2L	16485360	16485361	chr2L	16422441	16422442	72.5
chr2L	16484465	16484466	chr2L	16422441	16422442	71.9000015258789
chr2L	16485361	16485362	chr2L	16422192	16422193	73.0999984741211
chr2L	16486243	16486244	chr2L	16422191	16422192	74.3000030517578
chr2L	16486242	16486243	chr2L	16422191	16422192	74.5
chr2L	16486242	16486243	chr2L	16422531	16422532	69.5
chr2L	16484503	16484504	chr2L	16422531	16422532	69.5
chr2L	16485361	16485362	chr2L	16422441	16422442	72.5
chr2L	16486243	16486244	chr2L	16422192	16422193	74.0999984741211
chr2L	16485361	16485362	chr2L	16422191	16422192	73.0999984741211
chr2L	16484503	16484504	chr2L	16422191	16422192	73.0999984741211
chr2L	16486242	16486243	chr2L	16422441	16422442	70.5
chr2L	16485360	16485361	chr2L	16422191	16422192	73.0999984741211
chr2L	16484465	16484466	chr2L	16422191	16422192	73.0999984741211
chr2L	16485361	16485362	chr2L	16422531	16422532	71.9000015258789
chr2L	16486243	16486244	chr2L	16422441	16422442	70.5
chr2L	16484503	16484504	chr2L	16421077	16421078	72.6999969482422
chr2L	16484503	16484504	chr2L	16420979	16420980	72.6999969482422
chr2L	16485361	16485362	chr2L	16420979	16420980	72.6999969482422
chr2L	16485361	16485362	chr2L	16421077	16421078	72.0999984741211
chr2L	16484465	16484466	chr2L	16421077	16421078	72.6999969482422
chr2L	16485360	16485361	chr2L	16421077	16421078	72.0999984741211
chr2L	16485360	16485361	chr2L	16420979	16420980	72.6999969482422
chr2L	16484465	16484466	chr2L	16420979	16420980	72.6999969482422
chr2L	16486242	16486243	chr2L	16420979	16420980	72.0999984741211
chr2L	16486243	16486244	chr2L	16420979	16420980	72.0999984741211
chr2L	16486243	16486244	chr2L	16421077	16421078	72.3000030517578
chr2L	16486242	16486243	chr2L	16421077	16421078	72.3000030517578
chr2L	16484123	16484124	chr2L	16421077	16421078	71.6999969482422
chr2L	16484109	16484110	chr2L	16420979	16420980	71.6999969482422
chr2L	16483015	16483016	chr2L	16420979	16420980	69.5
chr2L	16483015	16483016	chr2L	16421077	16421078	69.0999984741211
chr2L	16483716	16483717	chr2L	16420979	16420980	70.6999969482422
chr2L	16484123	16484124	chr2L	16420979	16420980	71.6999969482422
chr2L	16483014	16483015	chr2L	16421077	16421078	69.0999984741211
chr2L	16483015	16483016	chr2L	16421076	16421077	69.0999984741211
chr2L	16488896	16488897	chr2L	16425017	16425018	61.9000015258789
chr2L	16488896	16488897	chr2L	16425016	16425017	61.9000015258789
chr2L	16488886	16488887	chr2L	16425016	16425017	61.9000015258789
chr2L	16488886	16488887	chr2L	16424660	16424661	63.2999992370605
chr2L	16488886	16488887	chr2L	16424661	16424662	63.2999992370605
chr2L	16487897	16487898	chr2L	16425017	16425018	64.3000030517578
chr2L	16488389	16488390	chr2L	16424660	16424661	65.9000015258789
chr2L	16488390	16488391	chr2L	16425016	16425017	65.6999969482422
chr2L	16487898	16487899	chr2L	16424661	16424662	66.9000015258789
chr2L	16487897	16487898	chr2L	16424660	16424661	66.9000015258789
chr2L	16488390	16488391	chr2L	16425017	16425018	65.6999969482422
chr2L	16487897	16487898	chr2L	16424661	16424662	66.9000015258789
chr2L	16488390	16488391	chr2L	16424661	16424662	65.9000015258789
chr2L	16487898	16487899	chr2L	16424660	16424661	66.9000015258789
chr2L	16487898	16487899	chr2L	16422191	16422192	70.0999984741211
chr2L	16488886	16488887	chr2L	16422531	16422532	64.9000015258789
chr2L	16488389	16488390	chr2L	16422192	16422193	65.6999969482422
chr2L	16488389	16488390	chr2L	16422191	16422192	65.6999969482422
chr2L	16488389	16488390	chr2L	16422441	16422442	63.9000015258789
chr2L	16487898	16487899	chr2L	16422441	16422442	68.9000015258789
chr2L	16488896	16488897	chr2L	16422191	16422192	64.5
chr2L	16488390	16488391	chr2L	16422191	16422192	65.5
chr2L	16488390	16488391	chr2L	16422531	16422532	64.5
chr2L	16488896	16488897	chr2L	16421077	16421078	60.5
chr2L	16487898	16487899	chr2L	16421077	16421078	66.0999984741211
chr2L	16488389	16488390	chr2L	16420979	16420980	62.5
chr2L	16488389	16488390	chr2L	16421077	16421078	62.7000007629395
